State,Crop_Year,Crop,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,nasa_rain_mm,nasa_tmax_c,nasa_tmin_c,rain_mm,temp_mean_c,cwr_mm,deficit_mm,fert_per_ha,pest_per_ha,econ_signal,irr_proxy_mm_base,wb_irrig_pct,observed_irrig_mm,observed_demand_mcm
Punjab,2005,Maize,148000.0,403000,566.7,17748160.0,31080.0,2.827,,,,566.7,27.0,500,131.64499999999998,119.91999999918973,0.20999999999858107,0.5,158.2991931628966,32.8692137725814,178.71759210963629,264.5020363222617
Punjab,2005,Rice,2642000.0,10193000,566.7,316828640.0,554820.0,3.820588235,,,,566.7,27.0,1200,831.645,119.91999999995463,0.20999999999992053,0.5,766.6908135927379,32.8692137725814,865.5832879506313,22868.71046765568
Punjab,2005,Sugarcane,85000.0,5241000,566.7,10193200.0,17850.0,64.525,,,,566.7,27.0,1600,1231.645,119.91999999858919,0.20999999999752944,1.5,1002.3431681193995,32.8692137725814,1131.6315256863281,961.8867968333791
Punjab,2005,Wheat,3468000.0,14493000,566.7,415882560.0,728280.0,4.145294118,,,,566.7,27.0,550,181.64499999999998,119.91999999996543,0.20999999999993946,0.5,201.7557374800164,32.8692137725814,227.7794275276434,7899.390546658674
Punjab,2006,Arhar/Tur,7200.0,6700,569.6,919512.0,1584.0,0.973571429,,,,569.6,27.0,450,79.75999999999999,127.70999998226249,0.21999999996944444,0.5,120.24982239913612,33.8165486420686,136.90056796469884,9.856840893458317
Punjab,2006,Bajra,6000.0,6000,569.6,766260.0,1320.0,1.0,,,,569.6,27.0,400,29.75999999999999,127.70999997871499,0.21999999996333333,0.5,76.03539768535994,33.8165486420686,86.56386280552464,5.193831768331479
Punjab,2006,Cotton(lint),604000.0,2678000,569.6,77136840.0,132880.0,4.236,,,,569.6,27.0,850,479.76,127.70999999978856,0.21999999999963576,1.5,414.4652201162437,33.8165486420686,471.85536663158774,2850.00641445479
Punjab,2006,Gram,3800.0,3800,569.6,485298.0,836.0,0.979166667,,,,569.6,27.0,350,0.0,127.7099999663921,0.21999999994210526,0.5,47.000972966297795,33.8165486420686,53.509101016567065,2.0333458386295487
Punjab,2006,Jowar,100.0,100,569.6,12771.0,22.0,1.0,,,,569.6,27.0,450,79.75999999999999,127.70999872290001,0.21999999780000004,0.5,120.2498212964384,33.8165486420686,136.9005667093128,0.1369005667093128
Punjab,2006,Maize,154000.0,481000,569.6,19667340.0,33880.0,3.202307692,,,,569.6,27.0,500,129.76,127.7099999991707,0.21999999999857142,1.3281057025745286,129.46424712660107,33.8165486420686,147.39089513101138,226.98197850175754
Punjab,2006,Rice,2621000.0,10138000,569.6,334727910.0,576620.0,3.75,,,,569.6,27.0,1200,829.76,127.70999999995128,0.21999999999991607,1.5,699.4661931056651,33.8165486420686,796.3198381319122,20871.54295743742
Punjab,2006,Wheat,3467000.0,14596000,569.6,442770570.0,762740.0,4.148421053,,,,569.6,27.0,550,179.76,127.70999999996317,0.21999999999993655,1.5,170.17867184010925,33.8165486420686,193.74296248903588,6717.068509494874
Punjab,2007,Arhar/Tur,6000.0,5400,527.2,800400.0,960.0,0.948333333,,,,527.2,27.0,450,107.31999999999994,133.39999997776667,0.15999999997333333,0.5,145.90198607918225,34.9320788330921,167.73377040480293,10.064026224288176
Punjab,2007,Bajra,4000.0,4000,527.2,533600.0,640.0,1.0,,,,527.2,27.0,400,57.319999999999936,133.39999996665,0.15999999996,0.5,101.13398761728754,34.9320788330921,116.26699207448766,4.650679682979507
Punjab,2007,Cotton(lint),604000.0,2355000,527.2,80573600.0,96640.0,4.037272727,,,,527.2,27.0,850,507.31999999999994,133.39999999977914,0.1599999999997351,1.5,444.54597374152877,34.9320788330921,511.06482027923784,3086.831514486597
Punjab,2007,Gram,2700.0,2800,527.2,360180.0,432.0,1.006666667,,,,527.2,27.0,350,7.319999999999936,133.3999999505926,0.15999999994074074,0.5,56.36598915419115,34.9320788330921,64.80021374279089,1.749605771055354
Punjab,2007,Jowar,100.0,100,527.2,13340.0,16.0,1.0,,,,527.2,27.0,450,107.31999999999994,133.39999866600002,0.1599999984,0.5,145.90198493059944,34.9320788330921,167.73376908435398,0.167733769084354
Punjab,2007,Maize,153000.0,521000,527.2,20410200.0,24480.0,3.560833333,,,,527.2,27.0,500,157.31999999999994,133.39999999912808,0.15999999999895423,1.4244320420672192,155.669984553207,34.9320788330921,178.96338596649477,273.81398052873703
Punjab,2007,Rice,2610000.0,10489000,527.2,348174000.0,417600.0,3.968,,,,527.2,27.0,1200,857.3199999999999,133.3999999999489,0.15999999999993872,1.5,733.4219629296135,34.9320788330921,843.1662545917084,22006.63924484359
Punjab,2007,Wheat,3488000.0,15720000,527.2,465299200.0,558080.0,4.4775,,,,527.2,27.0,550,207.31999999999994,133.39999999996175,0.15999999999995415,1.5,196.9379830094199,34.9320788330921,226.4064480120212,7897.0569066593
Punjab,2008,Arhar/Tur,5900.0,5700,691.3,843936.0,531.0,0.965,,,,691.3,27.0,450,0.6550000000000296,143.03999997575593,0.08999999998474575,0.5,74.34401954202512,34.6501109831606,85.25854102515858,5.030253920484356
Punjab,2008,Bajra,5000.0,5000,691.3,715200.0,450.0,1.0,,,,691.3,27.0,400,0.0,143.03999997139198,0.08999999998199999,0.5,65.64690625618135,34.6501109831606,75.28459565000428,3.7642297825002142
Punjab,2008,Cotton(lint),527000.0,2285000,691.3,75382080.0,47430.0,4.371818182,,,,691.3,27.0,850,400.65500000000003,143.03999999972856,0.08999999999982922,1.5,380.4909258412516,34.6501109831606,436.35118749799653,2299.570758114442
Punjab,2008,Gram,2900.0,3400,691.3,414816.0,261.0,1.1375,,,,691.3,27.0,350,0.0,143.03999995067588,0.08999999996896552,0.5,57.44104296005055,34.6501109831606,65.87402117757438,1.910346614149657
Punjab,2008,Jowar,100.0,100,691.3,14304.0,9.0,1.0,,,,691.3,27.0,450,0.6550000000000296,143.03999856960002,0.0899999991,0.5,74.34401831079508,34.6501109831606,85.2585396131704,0.0852585396131704
Punjab,2008,Maize,151000.0,514000,691.3,21599040.0,13590.0,3.419230769,,,,691.3,27.0,500,50.65500000000003,143.0399999990527,0.08999999999940397,1.342022309456026,85.04988284713752,34.6501109831606,97.53614306270644,147.27957602468675
Punjab,2008,Rice,2735000.0,11000000,691.3,391214400.0,246150.0,3.9855,,,,691.3,27.0,1200,750.655,143.03999999994772,0.0899999999999671,1.5,675.9319688352199,34.6501109831606,775.1662319331194,21200.79644337082
Punjab,2008,Wheat,3466000.0,15733000,691.3,495776640.0,311940.0,4.5035,,,,691.3,27.0,550,100.65500000000003,143.03999999995875,0.08999999999997405,1.5,127.2557461328209,34.6501109831606,145.93829226867672,5058.221210032335
Punjab,2009,Arhar/Tur,4600.0,4400,371.3,716772.0,782.0,0.988571429,,,,371.3,27.0,450,208.65499999999997,155.81999996612606,0.16999999996304346,0.5,241.5341868238039,35.3416487104871,278.665861571605,12.81862963229383
